Lat,Lng,SubCategory,Distance to light
37.34699973,-121.8677382,CON-Construction Material,0.0308565
37.34805526,-121.8564793,CON-Construction Material,0.0094024
37.35083565,-121.8714887,CON-Construction Material,0.0068021
37.35141489,-121.849405,CON-Construction Material,2.23E-06
37.35222998,-121.8375612,CON-Construction Material,0.025366
37.35351406,-121.8674512,CON-Construction Material,0.0240406
37.35437373,-121.8266857,CON-Construction Material,0.0126636
37.35743743,-121.8172365,CON-Construction Material,0.0154377
37.35790951,-121.8967117,CON-Construction Material,0.0558147
37.35938526,-121.8386862,CON-Construction Material,2.52E-06
37.35983163,-121.8937426,CON-Construction Material,0.0854359
37.36224773,-121.8247268,CON-Construction Material,0.0612502
37.36739169,-121.8087496,CON-Construction Material,0.000709625
37.36787088,-121.812194,CON-Construction Material,0.002734801
37.37193045,-121.8936433,CON-Construction Material,0.0454328
37.37193973,-121.834253,CON-Construction Material,0.1048231
37.37793587,-121.8804477,CON-Construction Material,0.031836601
37.37972308,-121.9002797,CON-Construction Material,1.16E-06
37.38213039,-121.8786007,CON-Construction Material,0.0683434
37.383291,-121.8430728,CON-Construction Material,0.1433925
37.38423057,-121.9316004,CON-Construction Material,0.0548649
37.38470596,-121.83457,CON-Construction Material,0.0970316
37.38768948,-121.8402421,CON-Construction Material,0.006419402
37.38828811,-121.8547067,CON-Construction Material,0.0080452
37.3909811,-121.8791607,CON-Construction Material,0.0164066
37.39144828,-121.8382532,CON-Construction Material,0.0245009
37.39979295,-121.8469252,CON-Construction Material,0.009247102
37.40199199,-121.9394831,CON-Construction Material,0.1138185
37.41376336,-121.9613544,CON-Construction Material,0.0119916
37.24873207,-121.8765197,CON-Construction Material,0.0439449
37.29364434,-121.8449601,CON-Construction Material,0.0096002
37.30741381,-121.9513344,CON-Construction Material,0.0209452
37.31439263,-121.965998,CON-Construction Material,0.1478555
37.33150923,-121.8489756,CON-Construction Material,0.0144983
37.34602863,-121.834061,CON-Construction Material,0.0265157
37.357365,-121.801807,CON-Construction Material,8.65E-06
37.35954787,-121.8141176,CON-Construction Material,0.0245661
37.37132083,-121.8240156,CON-Construction Material,0.0542911
37.1970428,-121.8313522,COU-Couch/Sofa,0.083355168
37.20207521,-121.8339767,COU-Couch/Sofa,0.0976231
37.20824501,-121.8735498,COU-Couch/Sofa,0.1371962
37.20825284,-121.7287428,COU-Couch/Sofa,0.007610807
37.20869924,-121.8256807,COU-Couch/Sofa,0.0969516
37.20869924,-121.8256807,COU-Couch/Sofa,0.0969516
37.21971784,-121.7619748,COU-Couch/Sofa,0.033245701
37.22270183,-121.7744417,COU-Couch/Sofa,0.1109801
37.22270183,-121.7744417,COU-Couch/Sofa,3.12E-06
37.2257833,-121.8669807,COU-Couch/Sofa,0.0774649
37.22726053,-121.9025208,COU-Couch/Sofa,0.1513522
37.22839277,-121.7655013,COU-Couch/Sofa,0.0648747
37.22933857,-121.8000776,COU-Couch/Sofa,0.0302984
37.23003605,-121.8037863,COU-Couch/Sofa,0.0265897
37.23293688,-121.891172,COU-Couch/Sofa,0.0137077
37.23310399,-121.8188905,COU-Couch/Sofa,0.0859892
37.23387551,-121.8716362,COU-Couch/Sofa,0.0332435
37.23462928,-121.7913711,COU-Couch/Sofa,0.1135086
37.23630014,-121.8731218,COU-Couch/Sofa,0.0244761
37.23690992,-121.8151464,COU-Couch/Sofa,0.0254439
37.23691602,-121.8142796,COU-Couch/Sofa,0.0263107
37.23691602,-121.8142796,COU-Couch/Sofa,0.0263107
37.23717568,-121.7176836,COU-Couch/Sofa,0.0884709
37.23725309,-121.8475901,COU-Couch/Sofa,0.0414356
37.23770705,-121.9186259,COU-Couch/Sofa,0.0965237
37.23805008,-121.83965,COU-Couch/Sofa,0.0175478
37.23882655,-121.7743851,COU-Couch/Sofa,0.0477171
37.24032437,-121.8454499,COU-Couch/Sofa,0.0472964
37.24226089,-121.8602675,COU-Couch/Sofa,0.0415622
37.24325577,-121.8613377,COU-Couch/Sofa,0.0306336
37.24346089,-121.8510948,COU-Couch/Sofa,0.0203907
37.24393367,-121.8144263,COU-Couch/Sofa,0.0162778
37.24477782,-121.9008474,COU-Couch/Sofa,0.0701433
37.24561136,-121.9014514,COU-Couch/Sofa,0.0008902
37.24596421,-121.8039438,COU-Couch/Sofa,0.0983978
37.24596421,-121.8039438,COU-Couch/Sofa,0.0983978
37.24598781,-121.8074601,COU-Couch/Sofa,0.0948815
37.24598781,-121.8074601,COU-Couch/Sofa,0.0948815
37.24664471,-121.8069349,COU-Couch/Sofa,0.0791971
37.24667789,-121.8426551,COU-Couch/Sofa,0.0434769
37.24684493,-121.8853224,COU-Couch/Sofa,0.0008096
37.24707432,-121.908756,COU-Couch/Sofa,0.022624
37.24744279,-121.8426015,COU-Couch/Sofa,2.86E-06
37.24823277,-121.9437489,COU-Couch/Sofa,0.1011487
37.24858402,-121.7722103,COU-Couch/Sofa,0.0603645
37.24858402,-121.7722103,COU-Couch/Sofa,0.0603645
37.24870826,-121.8818488,COU-Couch/Sofa,0.049274
37.24898774,-121.8413192,COU-Couch/Sofa,0.0087444
37.24907494,-121.9062936,COU-Couch/Sofa,0.0737188
37.24999024,-121.8986692,COU-Couch/Sofa,0.0522853
37.25052002,-121.8250688,COU-Couch/Sofa,0.1258857
37.25052002,-121.8250688,COU-Couch/Sofa,0.1258857
37.25054443,-121.9313149,COU-Couch/Sofa,1.96E-06
37.25060998,-121.8425621,COU-Couch/Sofa,0.0887518
37.25060998,-121.8425621,COU-Couch/Sofa,0.0887518
37.25139826,-121.8250743,COU-Couch/Sofa,0.0057608
37.25139978,-121.8877504,COU-Couch/Sofa,0.0569153
37.25149981,-121.8122897,COU-Couch/Sofa,0.0185454
37.25197646,-121.8075416,COU-Couch/Sofa,0.0232935
37.25246992,-121.8388498,COU-Couch/Sofa,0.008014701
37.252626,-121.7900635,COU-Couch/Sofa,0.0487862
37.25276396,-121.8584179,COU-Couch/Sofa,0.0195682
37.25283237,-121.8588706,COU-Couch/Sofa,0.0200209
37.25300677,-121.8402424,COU-Couch/Sofa,0.001392705
37.25300997,-121.8392023,COU-Couch/Sofa,0.0010408
37.25377914,-121.8031774,COU-Couch/Sofa,0.0370657
37.25382475,-121.9135458,COU-Couch/Sofa,0.1175256
37.25414496,-121.9124974,COU-Couch/Sofa,0.1164772
37.25498217,-121.796025,COU-Couch/Sofa,0.0464431
37.25515026,-121.7947782,COU-Couch/Sofa,0.0476899
37.25565629,-121.7903214,COU-Couch/Sofa,0.0042116
37.25602818,-121.8125103,COU-Couch/Sofa,2.80E-06
37.25602939,-121.8119141,COU-Couch/Sofa,0.000596813
37.25630705,-121.8218706,COU-Couch/Sofa,0.009359701
37.25630705,-121.8218706,COU-Couch/Sofa,0.009359701
37.25636871,-121.8194556,COU-Couch/Sofa,0.000846
37.25638404,-121.8175895,COU-Couch/Sofa,0.0027121
37.25642603,-121.8110996,COU-Couch/Sofa,0.009202001
